Jet_Fuel_Price,Date
2.61,2022-12-07
2.61,2022-12-07
2.61,2022-12-07
2.61,2022-12-07
2.61,2022-12-07
2.61,2022-12-07
2.61,2022-12-07
2.61,2022-12-07
2.61,2022-12-07
2.61,2022-12-07
2.61,2022-12-07
2.61,2022-12-07
2.61,2022-12-07
2.61,2022-12-07
2.61,2022-12-07
2.61,2022-12-07
2.61,2022-12-07
2.61,2022-12-07
2.61,2022-12-07
2.61,2022-12-07
2.61,2022-12-07
2.61,2022-12-07
2.61,2022-12-07
2.61,2022-12-07
2.61,2022-12-07
2.83,2022-12-08
2.83,2022-12-08
2.83,2022-12-08
2.83,2022-12-08
2.83,2022-12-08
2.83,2022-12-08
2.83,2022-12-08
2.83,2022-12-08
2.83,2022-12-08
2.83,2022-12-08
2.83,2022-12-08
2.83,2022-12-08
2.83,2022-12-08
2.83,2022-12-08
2.83,2022-12-08
2.83,2022-12-08
2.83,2022-12-08
2.83,2022-12-08
2.83,2022-12-08
2.83,2022-12-08
2.83,2022-12-08
2.83,2022-12-08
2.83,2022-12-08
2.83,2022-12-08
2.83,2022-12-08
2.83,2022-12-08
2.83,2022-12-08
2.83,2022-12-08
2.83,2022-12-08
2.83,2022-12-08
2.83,2022-12-08
2.83,2022-12-08
2.83,2022-12-08
2.83,2022-12-08
2.83,2022-12-08
2.83,2022-12-08
2.83,2022-12-08
2.83,2022-12-08
2.83,2022-12-08
2.83,2022-12-08
2.83,2022-12-08
2.83,2022-12-08
2.83,2022-12-08
2.83,2022-12-08
2.83,2022-12-08
2.83,2022-12-08
2.83,2022-12-08
2.83,2022-12-08
2.83,2022-12-08
2.83,2022-12-08
2.73,2022-12-09
2.73,2022-12-09
2.73,2022-12-09
2.73,2022-12-09
2.73,2022-12-09
2.73,2022-12-09
2.73,2022-12-09
2.73,2022-12-09
2.73,2022-12-09
2.73,2022-12-09
2.73,2022-12-09
2.73,2022-12-09
2.73,2022-12-09
2.73,2022-12-09
2.73,2022-12-09
2.73,2022-12-09
2.73,2022-12-09
2.73,2022-12-09
2.73,2022-12-09
2.73,2022-12-09
2.73,2022-12-09
2.73,2022-12-09
2.73,2022-12-09
2.73,2022-12-09
2.73,2022-12-09
2.73,2022-12-09
2.73,2022-12-09
2.73,2022-12-09
2.73,2022-12-09
2.73,2022-12-09
2.73,2022-12-09
2.73,2022-12-09
2.73,2022-12-09
2.73,2022-12-09
2.73,2022-12-09
2.73,2022-12-09
2.73,2022-12-09
2.73,2022-12-09
2.73,2022-12-09
2.73,2022-12-09
2.73,2022-12-09
2.73,2022-12-09
2.73,2022-12-09
2.73,2022-12-09
2.73,2022-12-09
2.73,2022-12-09
2.73,2022-12-09
2.73,2022-12-09
2.73,2022-12-09
2.73,2022-12-09
2.82,2022-12-10
2.82,2022-12-10
2.82,2022-12-10
2.82,2022-12-10
2.82,2022-12-10
2.82,2022-12-10
2.82,2022-12-10
2.82,2022-12-10
2.82,2022-12-10
2.82,2022-12-10
2.82,2022-12-10
2.82,2022-12-10
2.82,2022-12-10
2.82,2022-12-10
2.82,2022-12-10
2.82,2022-12-10
2.82,2022-12-10
2.82,2022-12-10
2.82,2022-12-10
2.82,2022-12-10
2.82,2022-12-10
2.82,2022-12-10
2.82,2022-12-10
2.82,2022-12-10
2.82,2022-12-10
2.82,2022-12-10
2.82,2022-12-10
2.82,2022-12-10
2.82,2022-12-10
2.82,2022-12-10
2.82,2022-12-10
2.82,2022-12-10
2.82,2022-12-10
2.82,2022-12-10
2.82,2022-12-10
2.82,2022-12-10
2.82,2022-12-10
2.82,2022-12-10
2.82,2022-12-10
2.82,2022-12-10
2.82,2022-12-10
2.82,2022-12-10
2.82,2022-12-10
2.82,2022-12-10
2.82,2022-12-10
2.82,2022-12-10
2.82,2022-12-10
2.82,2022-12-10
2.82,2022-12-10
2.82,2022-12-10
2.92,2022-12-11
2.92,2022-12-11
2.92,2022-12-11
2.92,2022-12-11
2.92,2022-12-11
2.92,2022-12-11
2.92,2022-12-11
2.92,2022-12-11
2.92,2022-12-11
2.92,2022-12-11
2.92,2022-12-11
2.92,2022-12-11
2.92,2022-12-11
2.92,2022-12-11
2.92,2022-12-11
2.92,2022-12-11
2.92,2022-12-11
2.92,2022-12-11
2.92,2022-12-11
2.92,2022-12-11
2.92,2022-12-11
2.92,2022-12-11
2.92,2022-12-11
2.92,2022-12-11
2.92,2022-12-11
2.92,2022-12-11
2.92,2022-12-11
2.92,2022-12-11
2.92,2022-12-11
2.92,2022-12-11
2.92,2022-12-11
2.92,2022-12-11
2.92,2022-12-11
2.92,2022-12-11
2.92,2022-12-11
2.92,2022-12-11
2.92,2022-12-11
2.92,2022-12-11
2.92,2022-12-11
2.92,2022-12-11
2.92,2022-12-11
2.92,2022-12-11
2.92,2022-12-11
2.92,2022-12-11
2.92,2022-12-11
2.92,2022-12-11
2.92,2022-12-11
2.92,2022-12-11
2.92,2022-12-11
2.92,2022-12-11
3.01,2022-12-12
3.01,2022-12-12
3.01,2022-12-12
3.01,2022-12-12
3.01,2022-12-12
3.01,2022-12-12
3.01,2022-12-12
3.01,2022-12-12
3.01,2022-12-12
3.01,2022-12-12
3.01,2022-12-12
3.01,2022-12-12
3.01,2022-12-12
3.01,2022-12-12
3.01,2022-12-12
3.01,2022-12-12
3.01,2022-12-12
3.01,2022-12-12
3.01,2022-12-12
3.01,2022-12-12
3.01,2022-12-12
3.01,2022-12-12
3.01,2022-12-12
3.01,2022-12-12
3.01,2022-12-12
3.01,2022-12-12
3.01,2022-12-12
3.01,2022-12-12
3.01,2022-12-12
3.01,2022-12-12
3.01,2022-12-12
3.01,2022-12-12
3.01,2022-12-12
3.01,2022-12-12
3.01,2022-12-12
3.01,2022-12-12
3.01,2022-12-12
3.01,2022-12-12
3.01,2022-12-12
3.01,2022-12-12
3.01,2022-12-12
3.01,2022-12-12
3.01,2022-12-12
3.01,2022-12-12
3.01,2022-12-12
3.01,2022-12-12
3.01,2022-12-12
3.01,2022-12-12
3.01,2022-12-12
3.01,2022-12-12
3.12,2022-12-13
3.12,2022-12-13
3.12,2022-12-13
3.12,2022-12-13
3.12,2022-12-13
3.12,2022-12-13
3.12,2022-12-13
3.12,2022-12-13
3.12,2022-12-13
3.12,2022-12-13
3.12,2022-12-13
3.12,2022-12-13
3.12,2022-12-13
3.12,2022-12-13
3.12,2022-12-13
3.12,2022-12-13
3.12,2022-12-13
3.12,2022-12-13
3.12,2022-12-13
3.12,2022-12-13
3.12,2022-12-13
3.12,2022-12-13
3.12,2022-12-13
3.12,2022-12-13
3.12,2022-12-13
3.12,2022-12-13
3.12,2022-12-13
3.12,2022-12-13
3.12,2022-12-13
3.12,2022-12-13
3.12,2022-12-13
3.12,2022-12-13
3.12,2022-12-13
3.12,2022-12-13
3.12,2022-12-13
3.12,2022-12-13
3.12,2022-12-13
3.12,2022-12-13
3.12,2022-12-13
3.12,2022-12-13
3.12,2022-12-13
3.12,2022-12-13
3.12,2022-12-13
3.12,2022-12-13
3.12,2022-12-13
3.12,2022-12-13
3.12,2022-12-13
3.12,2022-12-13
3.12,2022-12-13
3.12,2022-12-13
3.41,2022-12-14
3.41,2022-12-14
3.41,2022-12-14
3.41,2022-12-14
3.41,2022-12-14
3.41,2022-12-14
3.41,2022-12-14
3.41,2022-12-14
3.41,2022-12-14
3.41,2022-12-14
3.41,2022-12-14
3.41,2022-12-14
3.41,2022-12-14
3.41,2022-12-14
3.41,2022-12-14
3.41,2022-12-14
3.41,2022-12-14
3.41,2022-12-14
3.41,2022-12-14
3.41,2022-12-14
3.41,2022-12-14
3.41,2022-12-14
3.41,2022-12-14
3.41,2022-12-14
3.41,2022-12-14
3.41,2022-12-14
3.41,2022-12-14
3.41,2022-12-14
3.41,2022-12-14
3.41,2022-12-14
3.41,2022-12-14
3.41,2022-12-14
3.41,2022-12-14
3.41,2022-12-14
3.41,2022-12-14
3.41,2022-12-14
3.41,2022-12-14
3.41,2022-12-14
3.41,2022-12-14
3.41,2022-12-14
3.41,2022-12-14
3.41,2022-12-14
3.41,2022-12-14
3.41,2022-12-14
3.41,2022-12-14
3.41,2022-12-14
3.41,2022-12-14
3.41,2022-12-14
3.41,2022-12-14
3.41,2022-12-14
